latitude,longitude,year_month,irradiance
41.25,44.0,202401,1.7266
41.25,44.0,202402,2.4902
41.25,44.0,202403,3.2707
41.25,44.0,202404,5.4746
41.25,44.0,202405,4.6145
41.25,44.0,202406,6.5376
41.25,44.0,202407,5.2747
41.25,44.0,202408,5.2747
41.25,44.0,202409,3.9142
41.25,44.0,202410,3.2088
41.25,44.0,202411,2.249
41.25,44.0,202412,1.6505
41.25,44.0,202413,3.8064
41.25,44.0,202501,2.2027
41.25,44.0,202502,2.6292
41.25,44.0,202503,4.0606
41.25,44.0,202504,3.8702
41.25,44.0,202505,5.4367
41.25,44.0,202506,6.7078
41.25,44.0,202507,6.0626
41.25,44.0,202508,5.5908
41.25,44.0,202509,3.6307
41.25,44.0,202510,3.1735
41.25,44.0,202511,2.5361
41.25,44.0,202512,1.6392
41.25,44.0,202513,3.9701
41.25,44.25,201501,1.9008
41.25,44.25,201502,2.6772
41.25,44.25,201503,3.2789
41.25,44.25,201504,4.2132
41.25,44.25,201505,5.1182
41.25,44.25,201506,6.5098
41.25,44.25,201507,5.9018
41.25,44.25,201508,5.4655
41.25,44.25,201509,4.8626
41.25,44.25,201510,2.3633
41.25,44.25,201511,2.1977
41.25,44.25,201512,1.8218
41.25,44.25,201513,3.8626
41.25,44.25,201601,1.6618
41.25,44.25,201602,2.5037
41.25,44.25,201603,3.6187
41.25,44.25,201604,5.0225
41.25,44.25,201605,4.8773
41.25,44.25,201606,5.8325
41.25,44.25,201607,5.6794
41.25,44.25,201608,6.1966
41.25,44.25,201609,4.2989
41.25,44.25,201610,2.6414
41.25,44.25,201611,2.1242
41.25,44.25,201612,1.5674
41.25,44.25,201613,3.8374
41.25,44.25,201701,2.0016
41.25,44.25,201702,3.1015
41.25,44.25,201703,3.9072
41.25,44.25,201704,4.8106
41.25,44.25,201705,4.9195
41.25,44.25,201706,6.2844
41.25,44.25,201707,6.2988
41.25,44.25,201708,6.2683
41.25,44.25,201709,4.6908
41.25,44.25,201710,2.9393
41.25,44.25,201711,2.0822
41.25,44.25,201712,1.6529
41.25,44.25,201713,4.0836
41.25,44.25,201801,1.6325
41.25,44.25,201802,2.4161
41.25,44.25,201803,2.9839
41.25,44.25,201804,4.962
41.25,44.25,201805,5.0918
41.25,44.25,201806,6.1253
41.25,44.25,201807,6.2429
41.25,44.25,201808,4.6289
41.25,44.25,201809,4.3932
41.25,44.25,201810,3.1447
41.25,44.25,201811,1.7738
41.25,44.25,201812,1.2722
41.25,44.25,201813,3.7265
41.25,44.25,201901,1.9061
41.25,44.25,201902,2.7089
41.25,44.25,201903,3.3818
41.25,44.25,201904,4.4359
41.25,44.25,201905,5.9623
41.25,44.25,201906,6.5191
41.25,44.25,201907,6.241
41.25,44.25,201908,5.3844
41.25,44.25,201909,3.8719
41.25,44.25,201910,3.7073
41.25,44.25,201911,2.3314
41.25,44.25,201912,1.8185
41.25,44.25,201913,4.0303
41.25,44.25,202001,1.937
41.25,44.25,202002,2.789
41.25,44.25,202003,3.2892
41.25,44.25,202004,4.3109
41.25,44.25,202005,5.7055
41.25,44.25,202006,6.4594
41.25,44.25,202007,6.1459
41.25,44.25,202008,5.4415
41.25,44.25,202009,4.1544
41.25,44.25,202010,3.3307
41.25,44.25,202011,1.9044
41.25,44.25,202012,1.495
41.25,44.25,202013,3.9166
41.25,44.25,202101,1.8252
41.25,44.25,202102,2.7278
41.25,44.25,202103,3.1718
41.25,44.25,202104,4.3284
41.25,44.25,202105,6.3137
41.25,44.25,202106,6.6226
41.25,44.25,202107,5.6042
41.25,44.25,202108,6.0691
41.25,44.25,202109,3.8338
41.25,44.25,202110,2.6592
41.25,44.25,202111,2.1125
41.25,44.25,202112,1.7393
41.25,44.25,202113,3.9238
41.25,44.25,202201,1.9034
41.25,44.25,202202,2.8584
41.25,44.25,202203,3.283
41.25,44.25,202204,4.8977
41.25,44.25,202205,5.7262
41.25,44.25,202206,5.388
41.25,44.25,202207,6.6986
41.25,44.25,202208,5.9796
41.25,44.25,202209,4.6502
41.25,44.25,202210,3.0024
41.25,44.25,202211,2.1554
41.25,44.25,202212,1.4995
41.25,44.25,202213,4.0099
41.25,44.25,202301,1.9915
41.25,44.25,202302,2.3794
41.25,44.25,202303,3.0312
41.25,44.25,202304,4.3044
41.25,44.25,202305,5.0311
41.25,44.25,202306,5.2133
41.25,44.25,202307,6.5846
41.25,44.25,202308,6.1778
41.25,44.25,202309,3.9154
41.25,44.25,202310,3.169
41.25,44.25,202311,2.2702
41.25,44.25,202312,1.7114
41.25,44.25,202313,3.8256
41.25,44.25,202401,1.7266
41.25,44.25,202402,2.4902
41.25,44.25,202403,3.2707
41.25,44.25,202404,5.4746
41.25,44.25,202405,4.6145
41.25,44.25,202406,6.5376
41.25,44.25,202407,5.2747
41.25,44.25,202408,5.2747
41.25,44.25,202409,3.9142
41.25,44.25,202410,3.2088
41.25,44.25,202411,2.249
41.25,44.25,202412,1.6505
41.25,44.25,202413,3.8064
41.25,44.25,202501,2.2027
41.25,44.25,202502,2.6292
41.25,44.25,202503,4.0606
41.25,44.25,202504,3.8702
41.25,44.25,202505,5.4367
41.25,44.25,202506,6.7078
41.25,44.25,202507,6.0626
41.25,44.25,202508,5.5908
41.25,44.25,202509,3.6307
41.25,44.25,202510,3.1735
41.25,44.25,202511,2.5361
41.25,44.25,202512,1.6392
41.25,44.25,202513,3.9701
41.25,44.5,201501,1.9008
41.25,44.5,201502,2.6772
41.25,44.5,201503,3.2789
41.25,44.5,201504,4.2132
41.25,44.5,201505,5.1182
41.25,44.5,201506,6.5098
41.25,44.5,201507,5.9018
41.25,44.5,201508,5.4655
41.25,44.5,201509,4.8626
41.25,44.5,201510,2.3633
41.25,44.5,201511,2.1977
41.25,44.5,201512,1.8218
41.25,44.5,201513,3.8626
41.25,44.5,201601,1.6618
41.25,44.5,201602,2.5037
41.25,44.5,201603,3.6187
41.25,44.5,201604,5.0225
41.25,44.5,201605,4.8773
41.25,44.5,201606,5.8325
41.25,44.5,201607,5.6794
41.25,44.5,201608,6.1966
41.25,44.5,201609,4.2989
41.25,44.5,201610,2.6414
41.25,44.5,201611,2.1242
41.25,44.5,201612,1.5674
41.25,44.5,201613,3.8374
41.25,44.5,201701,2.0016
41.25,44.5,201702,3.1015
41.25,44.5,201703,3.9072
41.25,44.5,201704,4.8106
41.25,44.5,201705,4.9195
41.25,44.5,201706,6.2844
41.25,44.5,201707,6.2988
41.25,44.5,201708,6.2683
